0,1,2,3,4,5,6,7,8,reward_X,successor_O,game_over
 , , , , , , , ,X,0,"[0, 2, 6, 12, 20, 30, 42, 56]",False
 , , , , , , ,X, ,0,"[1, 3, 7, 13, 21, 31, 43, 57]",False
 , , , , , ,X, , ,0,"[4, 5, 8, 14, 22, 32, 44, 58]",False
 , , , , ,X, , , ,0,"[9, 10, 11, 15, 23, 33, 45, 59]",False
 , , , ,X, , , , ,0,"[16, 17, 18, 19, 24, 34, 46, 60]",False
 , , ,X, , , , , ,0,"[25, 26, 27, 28, 29, 35, 47, 61]",False
 , ,X, , , , , , ,0,"[36, 37, 38, 39, 40, 41, 48, 62]",False
 ,X, , , , , , , ,0,"[49, 50, 51, 52, 53, 54, 55, 63]",False
X, , , , , , , , ,0,"[64, 65, 66, 67, 68, 69, 70, 71]",False
